name,company,year,Price,kms_driven,fuel_type
Pajero Sport Limited Edition,Mitsubishi,2015,1540000,43222,Petrol
i10 Magna 1.2 Kappa2,Hyundai,2008,275000,100200,Petrol
Corolla H2,Toyota,2003,150000,100000,Petrol
Swift Dzire Tour VXi,Maruti,2011,230000,65,Petrol
Indigo CS eLS BS IV,Tata,2015,123000,100000,Diesel
Xcent Base 1.1 CRDi,Hyundai,2016,300000,140000,Diesel
Accent Executive Edition,Hyundai,2009,165000,48000,Petrol
Baleno Delta 1.2,Maruti,2016,498000,22000,Petrol
Zest XE 75 PS Diesel,Tata,2018,480000,103553,Diesel
Dzire LDI,Maruti,2017,488000,80000,Diesel
Sumo Gold LX BS IV,Tata,2014,250000,99000,Diesel
Corolla Altis GL Petrol,Toyota,2010,220000,58000,Petrol
Eeco 7 STR,Maruti,2013,290000,70000,LPG
Fortuner 3.0 4x2 MT,Toyota,2015,1525000,120000,Diesel
XUV500 W6,Mahindra,2013,548900,49800,Diesel
Tigor Revotron XZ,Tata,2019,650000,100,Diesel
800,Maruti,2001,55000,81876,Petrol
Ertiga Vxi,Maruti,2015,550000,75000,Petrol
Mobilio S i DTEC,Honda,2014,399000,44000,Diesel
Ertiga,Maruti,2016,730000,55000,Diesel
Vitara Brezza,Maruti,2017,725000,36000,Diesel
Verna 1.6 CRDI E,Hyundai,2016,195000,56000,Diesel
Swift VXI BSIII,Maruti,2007,130000,62000,Petrol
Omni Select Variant,Maruti,2014,190000,6020,Petrol
Amaze,Honda,2013,250000,55700,Diesel
Indica,Tata,2005,80000,42000,Petrol
Santro Xing,Hyundai,2003,120000,50000,Petrol
Zen Estilo,Maruti,2010,149000,35000,Petrol
Wagon R LXI BS IV,Maruti,2014,250000,18500,Petrol
Wagon R,Maruti,2007,120000,7000,Petrol
Brio VX AT,Honda,2017,450000,11000,Petrol
Zen LXi BSII,Maruti,2003,99999,53000,Petrol
Zen Estilo LXI Green CNG,Maruti,2008,135000,23000,Petrol
Wagon R Select Variant,Maruti,2016,225000,35500,Diesel
Alto LXi BS III,Maruti,2010,99000,22134,Petrol
Kwid RXT,Renault,2019,370000,1000,Petrol
Nano Lx BSIV,Tata,2010,52000,9000,Petrol
XE XE Portfolio,Jaguar,2016,2800000,8500,Petrol
Eon Magna Plus,Hyundai,2014,190000,35000,Petrol
City 1.5 S MT,Honda,2014,499000,22000,Petrol
Motors Ambassador,Hindustan,2002,90000,25000,Diesel
Ritz GENUS VXI,Maruti,2010,149000,40000,Petrol
Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017,400000,20000,Petrol
Eon D Lite Plus,Hyundai,2016,120000,87000,Petrol
Swift Dzire VXi 1.2 BS IV,Maruti,2015,250000,55000,Petrol
Wagon R VXI BS IV,Maruti,2017,375000,23000,Petrol
Amaze 1.2 VX i VTEC,Honda,2014,381000,6000,Petrol
Estilo VXi ABS BS IV,Maruti,2013,180000,65000,Petrol
Vitara Brezza LDi O,Maruti,2016,580000,25000,Diesel
Eeco 5 STR WITH AC HTR,Maruti,2015,278000,39000,Petrol
Creta 1.6 SX Plus Petrol AT,Hyundai,2016,1000000,8000,Petrol
Scorpio Vlx BSIV,Mahindra,2013,690000,75000,Diesel
Ertiga VDi,Maruti,2012,480000,51000,Diesel
Lancer 1.8 LXi,Mitsubishi,2006,85000,50000,Petrol
800 AC,Maruti,2001,40000,75000,Petrol
Alto 800 LXI CNG O,Maruti,2015,90000,55800,Petrol
Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015,340000,53000,Petrol
Eon D Lite Plus,Hyundai,2018,260000,25000,Petrol
Fiesta SXi 1.6 ABS,Ford,2009,250000,56400,Petrol
Ritz VDi,Maruti,2010,180000,72160,Diesel
Verna Fluidic New,Hyundai,2012,350000,10000,Diesel
Wagon R LXi BS III,Maruti,2006,90001,48000,Petrol
Estilo LX BS IV,Maruti,2007,115000,36000,Petrol
A6 2.0 TDI Premium,Audi,2012,1599000,11500,Diesel
Wagon R LXi BS III,Maruti,2003,130000,133000,Petrol
Wagon R,Maruti,2009,159000,27000,Petrol
Wagon R,Maruti,2009,160000,35000,Petrol
Alto,Maruti,2010,110000,55000,Petrol
Baleno Sigma 1.2,Maruti,2016,425000,40000,Petrol
Verna 1.6 SX VTVT AT,Hyundai,2019,900000,2000,Petrol
Swift GLAM,Maruti,2009,150000,45000,Petrol
Getz Prime 1.3 GVS,Hyundai,2009,110000,20000,Petrol
Santro,Hyundai,2000,51999,88000,Petrol
Getz Prime 1.3 GLX,Hyundai,2009,115000,20000,Petrol
Beat PS Diesel,Chevrolet,2012,215000,65422,Diesel
EcoSport Trend 1.5 Ti VCT,Ford,2017,580000,10000,Petrol
Dzire ZXI,Maruti,2013,380000,35000,Petrol
Fluidic Verna 1.6 CRDi SX,Hyundai,2013,350000,117000,Diesel
Indica V2 DLG,Tata,2005,35000,150000,Diesel
X1 xDrive20d xLine,BMW,2011,1150000,72000,Diesel
i20 Asta 1.2,Hyundai,2010,300000,10750,Petrol
City 1.5 V AT,Honda,2009,269000,55000,Petrol
Nano,Tata,2013,60000,6800,Petrol
Cruze LTZ AT,Chevrolet,2014,400000,41000,Diesel
Verna Fluidic New,Hyundai,2015,430000,73000,Diesel
Swift Dzire VDi,Maruti,2011,140000,65000,Diesel
XUV500 W6,Mahindra,2014,8500003,45000,Diesel
XUV500 W10,Mahindra,2018,1299000,40000,Diesel
Alto K10 LXi CNG,Maruti,2014,199000,37000,Petrol
Accent GLE,Hyundai,2006,90000,55000,Petrol
Motors One SUV,Force,2013,550000,140000,Diesel
Alto,Maruti,2019,265000,9800,Petrol
Spark 1.0 LT,Chevrolet,2011,100000,27000,Petrol
i10,Hyundai,2009,215000,27000,Petrol
Etios Liva GD,Toyota,2012,380000,20000,Diesel
Duster 85PS Diesel RxL Optional with Nav,Renault,2013,401919,57923,Diesel
Enjoy,Chevrolet,2014,490000,30201,Diesel
Alto 800 Lxi,Maruti,2017,280000,6200,Petrol
5 Series 530i,BMW,2009,650000,37518,Petrol
Etios Liva G,Toyota,2014,160000,24652,Petrol
Jeep MM 550 XDB,Mahindra,2004,424000,383,Diesel
Beat LS Diesel,Chevrolet,2016,225000,95000,Diesel
Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
Wrangler Unlimited 4x4 Diesel,Jeep,2015,950000,3528,Diesel
Ertiga VDi,Maruti,2013,485000,52500,Diesel
Verna VGT CRDi SX ABS,Hyundai,2010,205000,47900,Diesel
Omni,Maruti,2012,160000,14000,Petrol
Celerio VDi,Maruti,2018,310000,37000,Petrol
Zest Quadrajet 1.3,Tata,2017,180000,90000,Diesel
XUV500 W6,Mahindra,2013,549900,52800,Diesel
Indigo CS eLX BS IV,Tata,2016,150000,104000,Diesel
i10 Era,Hyundai,2011,175000,30000,Petrol
Indigo eCS LX TDI BS III,Tata,2014,95000,195000,Diesel
Indigo LX TDI BS III,Tata,2016,230000,104000,Diesel
Indigo eCS LX CR4 BS IV,Tata,2016,230000,104000,Diesel
Indigo Marina LS,Tata,2004,180000,70000,Diesel
Xcent SX 1.2,Hyundai,2015,400000,43000,Diesel
Eon Magna Plus,Hyundai,2013,185000,23000,Petrol
Duster 85 PS RxL Diesel,Renault,2015,385000,51000,Diesel
Alto K10 LXi CNG,Maruti,2009,90000,62000,Petrol
Nano LX Special Edition,Tata,2010,32000,48008,Petrol
Duster 110 PS RxZ Diesel,Renault,2013,435000,39000,Diesel
Wagon R AX BSIV,Maruti,2010,225000,40000,Petrol
Swift,Maruti,2006,189700,48247,Petrol
Ertiga,Maruti,2012,389700,39000,Diesel
Swift VXi 1.2 ABS BS IV,Maruti,2014,365000,23000,Petrol
Alto K10 New,Maruti,2017,360000,9400,Petrol
i20 Magna,Hyundai,2010,210000,50000,Petrol
i10 Magna 1.2,Hyundai,2009,170000,75000,Petrol
Zest XE 75 PS Diesel,Tata,2017,380000,70000,Diesel
Xylo E8,Mahindra,2009,295000,64000,Diesel
Corolla Altis GL Petrol,Toyota,2010,185000,55000,Petrol
Manza Aqua Quadrajet,Tata,2014,160000,200000,Diesel
Kwid 1.0,Renault,2018,290000,2137,Petrol
Venture EX 8 STR,Tata,2013,100000,30000,Diesel
Swift Dzire Tour LXi,Maruti,2014,315000,44000,Petrol
Octavia Classic 1.9 TDI MT,Skoda,2006,114990,65000,Diesel
Omni LPG BS IV,Maruti,2012,120000,160000,LPG
Beat Diesel,Chevrolet,2011,125000,56000,Diesel
Sumo Gold EX BS IV,Tata,2012,210000,75000,Diesel
Verna 1.6 CRDI SX,Hyundai,2018,855000,42000,Diesel
Scorpio 2.6 CRDe,Mahindra,2007,260000,56000,Diesel
Zen LXi BS III,Maruti,2002,95000,10544,Petrol
Swift Dzire VXi 1.2 BS IV,Maruti,2011,255000,64000,Petrol
Scorpio SLX 2.6 Turbo 8 Str,Mahindra,2008,300000,70000,Diesel
Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000,25000,Petrol
Elite i20 Sportz 1.2,Hyundai,2017,550000,15000,Petrol
Ikon 1.6 Nxt,Ford,2003,60000,50000,Petrol
Innova 2.5 V 7 STR,Toyota,2011,750000,147000,Diesel
Sunny XL,Nissan,2011,230000,52000,Petrol
Beat LT Diesel,Chevrolet,2012,130000,90001,Diesel
Alto 800 Lxi,Maruti,2017,270000,21000,Petrol
Swift VDi BS IV,Maruti,2012,280000,48006,Diesel
Swift,Maruti,2012,280000,48006,Diesel
Innova 2.0 G4,Toyota,2012,600000,80000,Diesel
Swift VDi ABS,Maruti,2010,190000,74000,Diesel
Elite i20 Asta 1.2,Hyundai,2015,500000,22000,Petrol
XUV500 W10,Mahindra,2016,1065000,41000,Diesel
Polo Trendline 1.5L D,Volkswagen,2015,350000,25000,Diesel
Etios Liva Diesel,Toyota,2012,350000,85000,Diesel
TUV300 T4 Plus,Mahindra,2016,540000,29500,Diesel
Elite i20 Asta 1.2,Hyundai,2015,470000,30000,Petrol
Santro Xing GLS,Hyundai,2014,179000,57000,Petrol
Zen LXi BS III,Maruti,2003,48000,60000,Petrol
Ciaz ZXi Plus RS,Maruti,2016,650000,50000,Petrol
Eon Era Plus,Hyundai,2013,190000,39700,Petrol
Elantra 1.8 S,Hyundai,2012,500000,65000,Petrol
Swift VDi,Maruti,2010,270000,67000,Diesel
Zen Estilo LXI Green CNG,Maruti,2008,125000,46000,Petrol
Eon Era Plus,Hyundai,2012,188000,38000,Petrol
Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2016,380000,27000,Petrol
Verna Fluidic New,Hyundai,2011,365000,43000,Diesel
EcoSport Trend 1.5L Ti VCT,Ford,2014,465000,47000,Petrol
i20 Magna,Hyundai,2011,240000,42000,Petrol
Beat Diesel,Chevrolet,2016,179999,19336,Diesel
Indica eV2 LS,Tata,2015,140000,60105,Diesel
XF 2.2 Diesel Luxury,Jaguar,2013,2190000,29000,Diesel
Q5 2.0 TDI quattro Premium Plus,Audi,2014,2390000,34000,Diesel
3 Series 320d Sedan,BMW,2011,1075000,35000,Diesel
Swift ZXi 1.2 BS IV,Maruti,2015,475000,22000,Petrol
X1 sDrive20d,BMW,2012,1025000,41000,Diesel
S Cross Sigma 1.3,Maruti,2016,615000,21000,Diesel
Ertiga LDi,Maruti,2013,475000,48000,Diesel
Alto K10 VXi AMT,Maruti,2016,270000,38000,Petrol
City SV,Honda,2014,475000,34000,Diesel
Vento Comfortline Petrol,Volkswagen,2011,240000,45933,Petrol
City 1.5 EXi New,Honda,2005,120000,68000,Petrol
A4 2.0 TDI 177bhp Premium,Audi,2016,1900000,44000,Diesel
KUV100,Mahindra,2017,360000,35000,Diesel
Zest XE 75 PS Diesel,Tata,2018,450000,102563,Diesel
XUV500 W8,Mahindra,2015,900000,28600,Diesel
Swift Dzire Tour VDi,Maruti,2017,650000,41800,Diesel
Sumo Gold LX BS IV,Tata,2014,275000,116000,Diesel
Swift Dzire VXi 1.2 BS IV,Maruti,2009,210000,59000,Petrol
Scorpio 2.6 SLX,Mahindra,2004,175000,58000,Diesel
Omni 8 STR BS III,Maruti,2009,85000,45000,Petrol
Pajero Sport Limited Edition,Mitsubishi,2015,1490000,42590,Diesel
Duster,Renault,2014,800000,7400,Diesel
Jetta Comfortline 1.9 TDI AT,Volkswagen,2009,450000,54500,Diesel
Ertiga Vxi,Maruti,2012,1000000,200000,Diesel
A4 2.0 TDI 177bhp Premium,Audi,2013,1510000,27000,Diesel
S80 Summum D4,Volvo,2015,1850000,42000,Diesel
Corolla Altis VL AT Petrol,Toyota,2014,790000,29000,Petrol
Pajero Sport 2.5 AT,Mitsubishi,2015,1725000,37000,Diesel
Beat LT Petrol,Chevrolet,2012,135000,36000,Petrol
X1,BMW,2011,1000000,34000,Diesel
Redi GO S,Datsun,2018,299999,7000,Petrol
C Class C 220 CDI Avantgarde,Mercedes,2009,1225000,76000,Diesel
Scorpio SLX,Mahindra,2004,175000,60000,Diesel
Vento Comfortline Diesel,Volkswagen,2011,200000,95000,Diesel
Indigo CS GLS,Tata,2017,270000,50000,Diesel
Figo Petrol Titanium,Ford,2019,525000,0,Petrol
City ZX GXi,Honda,2006,180000,50000,Petrol
Wagon R Duo Lxi,Maruti,2008,140000,68000,Petrol
EcoSport Trend 1.5L TDCi,Ford,2014,400000,16000,Petrol
Swift Dzire VDi,Maruti,2016,499000,51000,Diesel
Omni 8 STR BS III,Maruti,2009,85000,56000,Petrol
Zen LX BSII,Maruti,2004,70000,100000,Petrol
Duster RxL Petrol,Renault,2015,550000,36000,Petrol
Swift VXi 1.2 BS IV,Maruti,2014,370000,11523,Petrol
Baleno Zeta 1.2,Maruti,2018,690000,1000,Petrol
WR V S MT Petrol,Honda,2009,250000,60000,Petrol
Indigo CS eLX BS IV,Tata,2016,110000,85000,Diesel
Duster 110 PS RxL Diesel,Renault,2013,490000,38600,Diesel
Scorpio LX BS III,Mahindra,2009,320000,95500,Diesel
Zen LXi BS III,Maruti,2004,68000,56000,Petrol
Wagon R LXi BS III,Maruti,2014,130000,37458,Petrol
SX4 Celebration Diesel,Maruti,2016,970000,85960,Diesel
A3 Cabriolet 40 TFSI,Audi,2015,3100000,12516,Petrol
Eon D Lite Plus,Hyundai,2018,280000,35000,Petrol
Zen Estilo LXI Green CNG,Maruti,2009,125000,0,Petrol
Scorpio SLX,Mahindra,2008,285000,80000,Diesel
Santro AE GLS Audio,Hyundai,2011,165000,45000,Petrol
Swift Dzire Tour VDi,Maruti,2009,250000,51000,Diesel
Xylo D2 BS IV,Mahindra,2011,390000,48000,Diesel
Santro,Hyundai,2003,60000,51000,Petrol
Beat LT Diesel,Chevrolet,2015,215000,90000,Diesel
Swift Dzire VDi,Maruti,2015,475000,43000,Diesel
XUV500 W8,Mahindra,2015,899000,53000,Diesel
Fortuner 3.0 4x4 MT,Toyota,2013,1499000,97000,Diesel
Alto K10 VXi,Maruti,2013,240000,20000,Petrol
Getz GLE,Hyundai,2007,99000,55000,Petrol
Swift Dzire Tour LDi,Maruti,2014,260000,120000,Diesel
Creta 1.6 SX,Hyundai,2019,1200000,0,Petrol
Santro Xing XL AT eRLX Euro III,Hyundai,2007,115000,46000,Petrol
Santro Xing XL eRLX Euro III,Hyundai,2009,88000,43200,Petrol
Xylo D2 BS IV,Mahindra,2011,390000,56000,Diesel
Santro Xing XL eRLX Euro III,Hyundai,2007,135000,42000,Petrol
Indica V2 DLS BS III,Tata,2009,90000,30600,Diesel
i10 Sportz 1.2,Hyundai,2011,220000,38000,Petrol
Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2017,424999,2550,Petrol
Santro Xing XL AT eRLX Euro III,Hyundai,2007,135000,47000,Petrol
City 1.5 E MT,Honda,2005,95000,41000,Petrol
Micra XL,Nissan,2017,430000,62500,Diesel
City 1.5 S Inspire,Honda,2005,115000,68000,Petrol
Alto 800 Lxi,Maruti,2015,215000,50000,Petrol
Wagon R LX BS III,Maruti,2004,53000,69000,Petrol
Ertiga VDi,Maruti,2012,500000,48000,Diesel
Indica eV2 eXeta eGLX,Tata,2012,85000,55000,Diesel
Omni E 8 STR BS IV,Maruti,2013,165000,25000,Petrol
Eon Era Plus,Hyundai,2014,200000,28400,Petrol
Eon,Hyundai,2014,200000,28000,Petrol
Swift LDi,Maruti,2015,425000,42000,Diesel
Verna 1.6 CRDI SX Plus AT,Hyundai,2012,600000,29000,Diesel
Tavera LS B3 10 Seats BSII,Chevrolet,2005,130000,68485,Diesel
Tiago Revotron XM,Tata,2018,430000,3500,Petrol
Tiago Revotorq XZ,Tata,2019,568500,0,Petrol
Zen LXi BS III,Maruti,2006,71000,32000,Petrol
KUV100 K8 D 6 STR,Mahindra,2018,560000,8000,Diesel
EcoSport Titanium 1.5 TDCi,Ford,2014,590000,34000,Diesel
Motors Ambassador Classic Mark 4 – Befo,Hindustan,1995,750000,37000,Petrol
Fusion 1.4 TDCi Diesel,Ford,2007,125000,85455,Diesel
Santro Xing XL AT eRLX Euro III,Hyundai,2007,135000,46000,Petrol
Santro,Hyundai,2002,60000,47000,Petrol
Linea Emotion 1.4 L T Jet Petrol,Fiat,2009,120000,64000,Petrol
Ikon 1.3 Flair Josh 100,Ford,2008,95000,46000,Petrol
Omni E 8 STR BS IV,Maruti,2017,240000,8000,Petrol
Indica V2 LS,Tata,2012,115000,64000,Diesel
Scorpio S4,Mahindra,2015,795000,63000,Diesel
Santro Xing XL eRLX Euro III,Hyundai,2007,55000,65000,Petrol
Xylo D2,Mahindra,2009,300000,62000,Diesel
Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2014,320000,41000,Petrol
Alto 800 Lxi,Maruti,2015,265000,14000,Petrol
Corolla,Toyota,2006,160000,40000,Petrol
Eon Magna,Hyundai,2017,300000,1600,Petrol
Sumo Grande MKII GX,Tata,2010,130000,90000,Diesel
Swift VDi,Maruti,2011,250000,58000,Diesel
Polo Highline1.2L P,Volkswagen,2013,380000,27000,Petrol
Alto 800 Lx,Maruti,2003,42000,60000,Petrol
Tiago Revotron XZ,Tata,2017,400000,31000,Petrol
Swift LDi,Maruti,2009,120000,90000,Diesel
Swift VDi,Maruti,2009,120000,90000,Diesel
Indigo eCS,Tata,2016,130000,150000,Diesel
Beat LS Diesel,Chevrolet,2014,189000,31000,Diesel
Xylo E8 BS IV,Mahindra,2011,365000,43000,Diesel
Eon D Lite Plus,Hyundai,2013,170000,20000,Petrol
Sumo Gold FX BSIII,Tata,2013,215000,100000,Petrol
Nano,Tata,2013,60000,7000,Petrol
Elite i20,Hyundai,2017,599999,31000,Petrol
i10 Magna 1.2 Kappa2,Hyundai,2009,400000,33000,Petrol
Creta,Hyundai,2016,900000,60000,Diesel
Polo,Volkswagen,2013,299999,48000,Diesel
Dzire,Maruti,2014,374999,33000,Petrol
Bolt XM Petrol,Tata,2015,600000,15000,Petrol
Alto 800 Lx,Maruti,2005,70000,47000,Petrol
Alto,Maruti,2005,100000,40000,Petrol
Ritz,Maruti,2010,150000,38000,Diesel
Alto 800 Lxi,Maruti,2017,225000,12500,Petrol
Dzire,Maruti,2009,210000,42000,Petrol
i20 Asta,Hyundai,2014,425000,31000,Petrol
Swift Select Variant,Maruti,2008,162000,60000,Diesel
Indica V2 DLX BS III,Tata,2005,60000,80000,Diesel
Scorpio VLX 2.2 mHawk Airbag BSIV,Mahindra,2014,650000,77000,Diesel
Innova 2.5 E 8 STR,Toyota,2012,750000,75000,Diesel
Xylo E8,Mahindra,2010,375000,40000,Diesel
i20 Magna 1.2,Hyundai,2011,230000,47000,Petrol
Omni,Maruti,2000,35999,60000,Petrol
KUV100,Mahindra,2016,380000,26500,Petrol
KUV100 K8 6 STR,Mahindra,2019,560000,2875,Petrol
Go Plus,Datsun,2016,285000,13900,Petrol
Endeavor 4x4 Thunder Plus,Ford,2019,2900000,9000,Diesel
Indica V2,Tata,2005,39999,80000,Diesel
Santro Xing GL,Hyundai,2006,85000,60000,Petrol
Wagon R 1.0 VXi,Maruti,2016,395000,20000,Petrol
Swift Select Variant,Maruti,2008,175000,58000,Diesel
Alto 800 Lx,Maruti,2019,400000,1500,Petrol
Innova 2.5 Z Diesel 7 Seater,Toyota,2011,750000,75000,Diesel
Alto 800,Maruti,2016,250000,2450,Petrol
Alto AX,Maruti,2019,425000,1625,Petrol
Polo Highline1.2L P,Volkswagen,2017,525000,45000,Petrol
Logan,Mahindra,2009,130000,65000,Diesel
800 Std BS III,Maruti,2000,30000,33400,Petrol
Scorpio,Mahindra,2011,475000,60123,Diesel
Sail 1.2 LS,Chevrolet,2013,300000,28000,Petrol
Santro AE GLS Audio,Hyundai,2003,60000,70000,Petrol
Wagon R VXi Minor,Maruti,2006,100000,7000,Petrol
Eon,Hyundai,2018,260000,25000,Petrol
Manza,Tata,2015,100000,100000,Diesel
Etios G,Toyota,2013,265000,42000,Petrol
Qualis,Toyota,2003,180000,100000,Diesel
Santro Xing,Hyundai,2004,45000,137495,Petrol
Indica eV2 LS,Tata,2016,50500,91200,Diesel
City 1.5 S MT,Honda,2009,270000,55000,Petrol
Zest XE 75 PS Diesel,Tata,2017,290000,120000,Diesel
Quanto C4,Mahindra,2013,325000,63000,Diesel
Indigo eCS LX CR4 BS IV,Tata,2016,160000,104000,Diesel
Swift Dzire,Maruti,2016,350000,146000,Diesel
Elite i20,Hyundai,2011,290000,40000,Petrol
i20 Select Variant,Hyundai,2011,290000,40000,Petrol
Tavera Neo,Chevrolet,2007,465000,100800,Diesel
Dzire,Maruti,2016,325000,150000,Diesel
Elite i20,Hyundai,2018,510000,2100,Petrol
City VX Petrol,Honda,2016,860000,95000,Petrol
Dzire,Maruti,2016,450000,2500,Diesel
Getz,Hyundai,2006,125000,80000,Petrol
C Class 200 K MT,Mercedes,2006,500001,15000,Petrol
Alto LXi BS III,Maruti,2005,95000,65000,Petrol
Fabia,Skoda,2009,110000,45000,Petrol
Ritz VXI ABS,Maruti,2011,270000,50000,Petrol
Indica V2 DLE BS III,Tata,2009,110000,30000,Diesel
Corolla Altis,Toyota,2009,300000,132000,Petrol
Zest XM Diesel,Tata,2018,260000,27000,Diesel
Quanto C8,Mahindra,2013,390000,40000,Diesel
